rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
1,T-Series,245000000,2.28E+11,Music,T-Series,20082,India,IN,Music,1,1,1,2258000000,564600,9000000,6800000,108400000,2000000,2006,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
2,YouTube Movies,170000000,0,Film & Animation,youtubemovies,1,United States,US,Games,4055159,7670,7423,12,0,0.05,0.04,0.58,,2006,Mar,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
3,MrBeast,166000000,28368841870,Entertainment,MrBeast,741,United States,US,Entertainment,48,1,1,1348000000,337000,5400000,4000000,64700000,8000000,2012,Feb,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
4,Cocomelon - Nursery Rhymes,162000000,1.64E+11,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2,1,1975000000,493800,7900000,5900000,94800000,1000000,2006,Sep,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
5,SET India,159000000,1.48E+11,Shows,SET India,116536,India,IN,Entertainment,3,2,2,1824000000,455900,7300000,5500000,87500000,1000000,2006,Sep,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
6,Music,119000000,0,,Music,0,,,Music,4057944,,,,0,0,0,0,,2013,Sep,24,,,,,,
7,эээ Kids Diana Show,112000000,93247040539,People & Blogs,эээ Kids Diana Show,1111,United States,US,Entertainment,5,3,3,731674000,182900,2900000,2200000,35100000,,2015,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
8,PewDiePie,111000000,29058044447,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44,1,4,39184000,9800,156700,117600,1900000,,2010,Apr,29,63.2,126226568,2.29,115782416,36.204824,138.252924
9,Like Nastya,106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,48947000,12200,195800,146800,2300000,100000,2016,Jan,14,81.9,144373535,4.59,107683889,61.52401,105.318756
10,Vlad and Niki,98900000,77180169894,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8,5,6,580574000,145100,2300000,1700000,27900000,600000,2018,Apr,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
11,Zee Music Company,96700000,57856289381,Music,Zee Music Company,8548,India,IN,Music,12,3,2,803613000,200900,3200000,2400000,38600000,1100000,2014,Mar,12,28.1,1366417754,5.36,471031528,20.593684,78.96288
12,WWE,96000000,77428473662,Sports,WWE,70127,United States,US,Sports,7,6,1,714614000,178700,2900000,2100000,34300000,600000,2007,May,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
13,Gaming,93600000,0,,Gaming,0,,,Games,4057944,,1,,0,0,0,0,,2013,Dec,15,,,,,,
14,BLACKPINK,89800000,32144597566,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32,1,3,498930000,124700,2000000,1500000,23900000,700000,2016,Jun,29,94.3,51709098,4.15,42106719,35.907757,127.766922
15,Goldmines,86900000,24118230580,Film & Animation,goldmines,1,,,Music,4056562,,5663,18,0,0.07,0.05,0.86,,2006,Aug,15,,,,,,
16,Sony SAB,83000000,1.01E+11,Shows,Sony SAB,71270,India,IN,Entertainment,4,5,7,1657000000,414300,6600000,5000000,79600000,1100000,2007,Aug,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
17,5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901,4797,6781,1,0,0,0,0.05,,2020,Jul,27,60,66834405,3.85,55908316,55.378051,-3.435973
18,BANGTANTV,75600000,20826993957,Music,BANGTANTV,2281,South Korea,KR,Music,112,2,4,168290000,42100,673200,504900,8100000,400000,2012,Dec,17,94.3,51709098,4.15,42106719,35.907757,127.766922
19,Sports,75000000,0,,sports,3,United States,US,Entertainment,3898122,6266,5395,16,0,0.06,0.05,0.77,,2006,Jan,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
20,Justin Bieber,71600000,30608119724,Music,Justin Bieber,249,Canada,CA,Music,38,1,6,176326000,44100,705300,529000,8500000,100000,2007,Jan,15,68.9,36991981,5.56,30628482,56.130366,-106.346771
21,HYBE LABELS,71300000,28634566938,Music,HYBE LABELS,1337,South Korea,KR,Music,46,3,5,598173000,149500,2400000,1800000,28700000,900000,2008,Jun,4,94.3,51709098,4.15,42106719,35.907757,127.766922
22,Zee TV,70500000,73139054467,Entertainment,Zee TV,129204,India,IN,Entertainment,9,6,8,1707000000,426800,6800000,5100000,81900000,900000,2005,Dec,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
23,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23,8,2,473387000,118300,1900000,1400000,22700000,600000,2011,Dec,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
24,Canal KondZilla,66500000,36775585925,Music,Canal KondZilla,2572,Brazil,BR,Music,25,1,7,447223000,0,0,0,0,,2012,Mar,21,51.3,212559417,12.08,183241641,-14.235004,-51.92528
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18,7,3,420292000,105100,1700000,1300000,20200000,500000,2013,Feb,9,28.1,1366417754,5.36,471031528,20.593684,78.96288
26,Shemaroo Filmi Gaane,65600000,28648024439,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47,8,8,254961000,63700,1000000,764900,12200000,400000,2010,Jun,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
27,Colors TV,64600000,61510906457,Shows,Colors TV,112915,India,IN,Entertainment,10,9,9,1188000000,296900,4800000,3600000,57000000,1100000,2008,Jun,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
28,T-Series Bhakti Sagar,61000000,29533230328,Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,4053938,5803,5744,10,0,0.04,0.03,0.48,,2018,Aug,3,28.1,1366417754,5.36,471031528,20.593684,78.96288
29,Dude Perfect,59500000,16241549158,Sports,Dude Perfect,389,United States,US,Sports,182,9,3,141200000,35300,564800,423600,6800000,100000,2009,Mar,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
30,Movieclips,59500000,59316472754,Film & Animation,Movieclips,39113,United States,US,Film,11,9,3,114668000,28700,458700,344000,5500000,100000,2006,Apr,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
31,Tips Official,59300000,33431802698,Music,Tips Official,4741,India,IN,Music,30,11,10,422634000,105700,1700000,1300000,20300000,600000,2007,May,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
32,El Reino Infantil,58400000,57271630846,Music,El Reino Infantil,1510,Argentina,AR,Music,13,1,11,611828000,153000,2400000,1800000,29400000,600000,2011,Jun,2,90,44938712,9.79,41339571,-38.416097,-63.616672
33,Wave Music,58000000,40602020243,Music,Wave Music,19487,India,IN,Music,21,12,12,232025000,58000,928100,696100,11100000,500000,2014,Oct,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
34,Aaj Tak,57600000,25307753534,News & Politics,Aaj Tak,283775,India,IN,News,71,13,1,461148000,115300,1800000,1400000,22100000,500000,2009,Aug,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
35,Sony Music India,57200000,28837144516,Music,Sony Music India,3882,India,IN,Music,45,14,13,259310000,64800,1000000,777900,12400000,300000,2009,Sep,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
36,EminemMusic,56900000,27073872856,Music,EminemMusic,156,United States,US,Music,59,10,14,260193000,65000,1000000,780600,12500000,300000,2007,Feb,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
37,Marshmello,56400000,14696003229,Entertainment,Marshmello,436,United States,US,Music,233,11,15,112100000,28000,448400,336300,5400000,100000,2015,Apr,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
38,YRF,54600000,35302243691,Film & Animation,YRF,3707,India,IN,Music,28,15,16,512093000,128000,2000000,1500000,24600000,500000,2006,Jun,7,28.1,1366417754,5.36,471031528,20.593684,78.96288
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,Music,LooLoo Kids - Nursery Rhymes and Children's пїЅ,11,,,,3800129,,,159,0.04,0.64,0.48,8,,2016,Nov,29,,,,,,
40,Ed Sheeran,53500000,30367676736,Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1,18,202720000,50700,810900,608200,9700000,100000,2006,Aug,8,60,66834405,3.85,55908316,55.378051,-3.435973
41,Infobells - Hindi,53300000,30516172739,Education,Infobells - Hindi,577,India,IN,Education,37,16,4,815949000,204000,3300000,2400000,39200000,1600000,2014,Jun,6,28.1,1366417754,5.36,471031528,20.593684,78.96288
42,Taylor Swift,52900000,29884657286,Music,Taylor Swift,216,United States,US,Music,40,13,19,528392000,132100,2100000,1600000,25400000,800000,2006,Sep,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
43,Ariana Grande,52700000,24004842608,Music,Ariana Grande,147,United States,US,Music,78,14,20,160216000,40100,640900,480600,7700000,100000,2007,Jan,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,BillionSurpriseToys  - Nursery Rhymes & CartпїЅ,847,United States,US,Education,450,15,5,266747000,66700,1100000,800200,12800000,600000,2013,Oct,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
45,JuegaGerman,48100000,14631710289,Gaming,JuegaGerman,2052,Chile,CL,Games,237,1,2,66388000,16600,265600,199200,3200000,200000,2013,May,19,88.5,18952038,7.09,16610135,-35.675147,-71.542969
46,Billie Eilish,47900000,13626331061,Music,Billie Eilish,65,United States,US,Music,263,16,21,146862000,36700,587400,440600,7000000,200000,2013,Feb,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
47,Get Movies,47500000,30788679536,Entertainment,Get Movies,3322,Russia,RU,Film,35,1,4,306540000,76600,1200000,919600,14700000,700000,2006,Dec,16,81.9,144373535,4.59,107683889,61.52401,105.318756
48,Shemaroo,47400000,22519705183,Entertainment,Shemaroo,11451,India,IN,Entertainment,97,17,10,232744000,58200,931000,698200,11200000,500000,2007,Sep,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
49,Badabun,46800000,19398045702,Entertainment,badabun,1,,,Music,4047729,,5525,440,0.11,2,1,21,75,2007,Jul,21,,,,,,
50,SonyMusicIndiaVEVO,46600000,27286058807,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55,17,22,314505000,78600,1300000,943500,15100000,400000,2009,Sep,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
51,A4,46300000,22936630813,Gaming,aefour,1,Cuba,CU,People,4053056,99,5359,94,0.02,0.38,0.28,5,10,2006,Mar,11,41.4,11333483,1.64,8739135,21.521757,-77.781167
52,Bad Bunny,46100000,30686342319,Music,badbunny,1,,,Sports,4046070,,4501,1,0,0,0,0.05,,2005,Nov,15,,,,,,
53,Fernanfloo,46100000,10323391593,Gaming,Fernanfloo,543,El Salvador,SV,Games,419,1,3,33842000,8500,135400,101500,1600000,200000,2011,May,2,29.4,6453553,4.11,4694702,13.794185,-88.89653
54,Voot Kids,45500000,21388725229,Entertainment,Voot Kids,4660,India,IN,Entertainment,105,18,13,233988000,58500,936000,702000,11200000,400000,2016,Nov,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
55,Felipe Neto,45200000,16602198273,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174,2,14,130359000,32600,521400,391100,6300000,200000,2006,May,16,51.3,212559417,12.08,183241641,-14.235004,-51.92528
56,VocпїЅпїЅпїЅ,44700000,7828610828,Entertainment,VocпїЅпїЅпїЅ,1558,Brazil,BR,Entertainment,681,3,15,48032000,12000,192100,144100,2300000,100000,2013,Sep,1,51.3,212559417,12.08,183241641,-14.235004,-51.92528
57,HAR PAL GEO,44600000,41139050371,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20,1,15,1337000000,334300,5300000,4000000,64200000,1300000,2008,Jan,2,9,216565318,4.45,79927762,30.375321,69.345116
58,BRIGHT SIDE,44500000,10708531817,Howto & Style,brightside,0,,,,4057944,,,,0,0,0,0,1,2005,Nov,18,,,,,,
59,Katy Perry,44200000,25458952022,Music,Katy Perry,128,United States,US,Music,70,19,24,134242000,33600,537000,402700,6400000,100000,2008,Jun,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
60,whinderssonnunes,44200000,4274709210,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741,4,1,26683000,6700,106700,80100,1300000,,2013,Jan,21,51.3,212559417,12.08,183241641,-14.235004,-51.92528
61,ABS-CBN Entertainment,44200000,50292540392,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16,1,16,176629000,44200,706500,529900,8500000,300000,2008,Jul,16,35.5,108116615,2.15,50975903,12.879721,121.774017
62,Alan Walker,43700000,12884264778,Music,alanwalker,8,Thailand,TH,Film,4056116,4026,5270,22,0.01,0.09,0.07,1,,2006,May,12,49.3,69625582,0.75,35294600,15.870032,100.992541
63,HolaSoyGerman.,43600000,4831311245,Entertainment,holasoygerman. 2,6,,,People,4047806,,7716,4,0,0.02,0.01,0.19,,2016,May,27,,,,,,
64,Shakira,43500000,27568757295,People & Blogs,Shakira,326,Colombia,CO,Howto,52,1,3,353412000,88400,1400000,1100000,17000000,500000,2005,Oct,16,55.3,50339443,9.71,40827302,4.570868,-74.297333
65,ээээээээ ээ ээээээээээээээ,43200000,36458726976,Film & Animation,ээээээээ ээ ээээээээээээээ,1478,Russia,RU,Education,26,2,6,303780000,75900,1200000,911300,14600000,300000,2011,May,31,81.9,144373535,4.59,107683889,61.52401,105.318756
66,ARY Digital HD,43200000,37939780685,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24,2,18,1149000000,287300,4600000,3400000,55200000,900000,2016,Jul,11,9,216565318,4.45,79927762,30.375321,69.345116
67,Speed Records,42500000,26820902622,Music,Speed Records,10938,India,IN,Music,62,19,26,159757000,39900,639000,479300,7700000,100000,2012,Nov,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
68,Masha and The Bear,42400000,24519022988,Shows,Masha and The Bear,1218,United States,US,Film,74,20,5,670459000,167600,2700000,2000000,32200000,1000000,2014,Sep,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
69,Like Nastya Show,42400000,19547696190,Entertainment,Like Nastya Show,618,United States,US,Entertainment,128,21,19,53202000,13300,212800,159600,2600000,,2017,Nov,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
70,Rihanna,41900000,22477745835,Entertainment,Rihanna,84,Barbados,BB,Music,98,1,27,182926000,45700,731700,548800,8800000,100000,2005,Nov,6,65.4,287025,10.33,89431,13.193887,-59.543198
71,Ishtar Music,41400000,17608931161,Trailers,Ishtar Music,4510,India,IN,Music,155,20,28,180942000,45200,723800,542800,8700000,400000,2005,Sep,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
72,Kimberly Loaiza,41300000,5603111948,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157,2,1,136745000,34200,547000,410200,6600000,400000,2016,Nov,16,40.2,126014024,3.42,102626859,23.634501,-102.552784
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22,22,7,98775000,24700,395100,296300,4700000,100000,2011,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
74,Luisito Comunica,40600000,8670473639,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215,3021,,,0,0,0,0,,2010,Jun,18,40.2,126014024,3.42,102626859,23.634501,-102.552784
75,elrubiusOMG,40400000,7410536668,Gaming,elrubiusOMG,703,,,Entertainment,756,,21,5773000,1400,23100,17300,277100,,2011,Dec,20,,,,,,
76,Toys and Colors,40300000,47005053156,Entertainment,Toys and colors,4,,,People,3989650,,7330,5,0,0.02,0.02,0.24,,2018,Jun,14,,,,,,
77,shfa2 - пїЅпїЅ,39700000,23884824160,People & Blogs,shfa2 - пїЅпїЅ,1596,United Arab Emirates,AE,People,81,1,2,247731000,61900,990900,743200,11900000,300000,2017,Nov,6,36.8,9770529,2.35,8479744,23.424076,53.847818
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,,,Games,4057895,,7498,2,0,0.01,0.01,0.1,,2021,Mar,25,,,,,,
79,CarryMinati,39200000,3294013141,Comedy,CarryMinati,186,India,IN,Comedy,2487,21,2,78688000,19700,314800,236100,3800000,700000,2014,Oct,30,28.1,1366417754,5.36,471031528,20.593684,78.96288
80,XXXTENTACION,39200000,10507474316,Music,XXXTENTACION,133,United States,US,Music,403,24,29,58362000,14600,233400,175100,2800000,100000,2015,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
81,Super Simple Songs - Kids Songs,39200000,44900897958,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2,8,560756000,140200,2200000,1700000,26900000,400000,2006,Sep,8,68.9,36991981,5.56,30628482,56.130366,-106.346771
82,Mikecrack,39100000,16118181673,Gaming,Mikecrack,1876,Spain,ES,Games,188,1,4,264108000,66000,1100000,792300,12700000,800000,2015,Jul,13,88.9,47076781,13.96,37927409,40.463667,-3.74922
83,WorkpointOfficial,39000000,36131228583,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27,1,24,130461000,32600,521800,391400,6300000,200000,2012,Nov,5,49.3,69625582,0.75,35294600,15.870032,100.992541
84,GR6 EXPLODE,38900000,25154232306,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73,6,30,1635000000,408700,6500000,4900000,78500000,100000,2014,Aug,5,51.3,212559417,12.08,183241641,-14.235004,-51.92528
85,TEDx Talks,38600000,7339333120,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768,25,1,45638000,11400,182600,136900,2200000,100000,2009,Jun,23,88.2,328239523,14.7,270663028,37.09024,-95.712891
86,shfa,38400000,21528116909,People & Blogs,ээээээээээ ээээээ,982,Saudi Arabia,SA,Games,150882,774,1454,1589000,397,6400,4800,76300,2000,2018,May,24,68,34268528,5.93,28807838,23.885942,45.079162
87,Goldmines Gaane Sune Ansune,38300000,16718192386,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170,22,31,814756000,203700,3300000,2400000,39100000,400000,2015,Aug,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
88,One Direction,38200000,13598903820,Music,21 Savage,11,United States,US,Music,539848,2904,2594,6348,2,25,19,305,100,2016,Jun,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
89,TheEllenShow,38200000,22756581750,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93,26,26,21804000,5500,87200,65400,1000000,,2006,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
90,Sony PAL,38200000,28519339489,Shows,Sony PAL,24089,India,IN,Entertainment,49,23,25,415914000,104000,1700000,1200000,20000000,500000,2014,May,9,28.1,1366417754,5.36,471031528,20.593684,78.96288
91,Daddy Yankee,38000000,22731415608,Music,Daddy Yankee,505,United States,US,Music,92,27,33,205594000,51400,822400,616800,9900000,100000,2011,May,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
92,Vlad vпїЅпїЅп,37900000,23510152352,,Vlad vпїЅпїЅп,515,United States,US,Entertainment,84,28,27,244093000,61000,976400,732300,11700000,200000,2018,Jul,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
93,Like Nastya ESP,37600000,18208196857,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145,29,28,321026000,80300,1300000,963100,15400000,700000,2017,Apr,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
94,ээээээээээээ one31,37500000,27262462114,Entertainment,ээээээээээээ one31,117152,Thailand,TH,Entertainment,56,2,29,140754000,35200,563000,422300,6800000,300000,2013,Jan,10,49.3,69625582,0.75,35294600,15.870032,100.992541
95,Jkk Entertainment,37200000,16402066717,Comedy,Jkk Entertainment,220,India,IN,Comedy,178,24,3,49861000,12500,199400,149600,2400000,100000,2017,Mar,20,28.1,1366417754,5.36,471031528,20.593684,78.96288
96,ABP NEWS,37000000,13102611515,People & Blogs,ABP NEWS,301308,India,IN,News,280,25,2,267060000,66800,1100000,801200,12800000,400000,2012,Jun,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
97,Maria Clara & JP,37000000,24188861917,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75,7,30,251449000,62900,1000000,754300,12100000,300000,2015,Sep,6,51.3,212559417,12.08,183241641,-14.235004,-51.92528
98,Bruno Mars,36700000,19378155425,Music,Bruno Mars,99,United States,US,Music,134,30,34,175243000,43800,701000,525700,8400000,200000,2006,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
99,Maroon 5,36600000,22553923546,Music,Maroon 5,171,United States,US,Music,96,31,35,152825000,38200,611300,458500,7300000,,2006,Mar,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
100,Ultra Bollywood,36600000,15653786446,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205,26,31,131462000,0,0,0,0,200000,2009,Oct,21,28.1,1366417754,5.36,471031528,20.593684,78.96288
101,PowerKids TV,36500000,18961241905,Film & Animation,PowerKids TV,5621,,,Film,139,1,6,318702000,79700,1300000,956100,15300000,600000,2014,Aug,6,,,,,,
102,YouTube,36300000,3010784935,News & Politics,YouTube,744,United States,US,Entertainment,2860,32,5,21103000,5300,84400,63300,1000000,300000,1970,Jan,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
103,News,36300000,0,,News,0,,,,4057944,,,,0,0,0,0,,2013,Sep,9,,,,,,
104,Ozuna,36200000,23355801606,Music,Ozuna,196,,,Music,87,2,36,169242000,42300,677000,507700,8100000,100000,2016,Mar,24,,,,,,
105,MrBeast Gaming,36100000,6331332547,Gaming,MrBeastGaming,5,,,Comedy,4057305,,4880,32,0.01,0.13,0.1,2,1,2011,Feb,26,,,,,,
106,La Granja de ZenпїЅ,35700000,27118354077,Music,La Granja de ZenпїЅ,654,Argentina,AR,Music,58,2,37,302071000,75500,1200000,906200,14500000,400000,2013,Jun,6,90,44938712,9.79,41339571,-38.416097,-63.616672
107,Saregama Music,35500000,15657673422,Entertainment,Saregama Music,7566,India,IN,Music,199,27,38,533793000,133400,2100000,1600000,25600000,900000,2013,Jan,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
108,IndiaTV,35500000,16105023749,News & Politics,IndiaTV,273255,India,IN,News,185,27,3,290847000,72700,1200000,872500,14000000,600000,2006,Aug,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
109,T-Series Bollywood Classics,35400000,22637783517,Music,T-Series Bollywood Classics,2010,India,IN,Music,94,28,39,331474000,82900,1300000,994400,15900000,500000,2012,Apr,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
110,Total Gaming,35400000,5556364230,Gaming,totalgaming,1,,,Autos,4056447,,3902,53,0.01,0.21,0.16,3,2,2006,Jul,15,,,,,,
111,Markiplier,35200000,20297931219,Gaming,Markiplier,5490,United States,US,Games,119,34,8,127329000,31800,509300,382000,6100000,100000,2012,May,26,88.2,328239523,14.7,270663028,37.09024,-95.712891
112,Ryan's World,35200000,55299840198,Entertainment,Ryan's World,2453,United States,US,Entertainment,15,35,32,238613000,59700,954500,715800,11500000,200000,2015,Mar,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,Education,Genevieve's Playhouse - Learning Videos for пїЅ,617,United States,US,Film,69,36,7,335307000,83800,1300000,1000000,16100000,300000,2016,Jan,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
114,T-Series Apna Punjab,34600000,21306315429,Music,T- Series Apna Punjab,0,,,News,4057944,,4653,,0,0,0,0,,2020,Jul,9,,,,,,
115,Techno Gamerz,34400000,9690499664,Gaming,TechnoGamerz,1,,,Games,4057311,,7489,86,0.02,0.34,0.26,4,3,2010,May,19,,,,,,
116,Geet MP3,34300000,12746535822,Music,Geet MP3,679,India,IN,Music,299,31,41,101357000,25300,405400,304100,4900000,100000,2016,Oct,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
117,J Balvin,34100000,23005313609,Music,J Balvin,141,Colombia,CO,Music,89,2,42,128696000,32200,514800,386100,6200000,100000,2011,Feb,18,55.3,50339443,9.71,40827302,4.570868,-74.297333
118,Jess No Limit,34000000,3963007415,Entertainment,Jess No Limit,2284,Indonesia,ID,Entertainment,1882,1,33,547141000,136800,2200000,1600000,26300000,5500000,2017,Sep,7,36.3,270203917,4.69,151509724,-0.789275,113.921327
119,Jingle Toons,34000000,11351015824,Film & Animation,Jingle Toons,240,India,IN,Film,360,32,8,179903000,45000,719600,539700,8600000,600000,2013,Jan,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
120,VEGETTA777,33800000,15432929204,Gaming,VEGETTA777,7606,Spain,ES,Games,211,2,10,39094000,9800,156400,117300,1900000,,2008,Mar,2,88.9,47076781,13.96,37927409,40.463667,-3.74922
121,Galinha Pintadinha,33800000,27274550757,Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54,8,9,403508000,100900,1600000,1200000,19400000,200000,2006,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
122,SSSniperWolf,33700000,23492684419,Gaming,SSSniperWolf,3366,United States,US,Entertainment,83,37,35,210955000,52700,843800,632900,10100000,200000,2013,Jan,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
123,Desi Music Factory,33700000,10189027455,Music,Desi music factory,2,,,Music,4057699,,5775,,0,0,0,0,,2018,Apr,10,,,,,,
