rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
372,Avicii,20600000,10292874715,Music,Avicii,156,Sweden,SE,Music,421,1,92,81236000,20300,324900,243700,3900000,,2009,Oct,28,67,10285453,6.48,9021165,60.128161,18.643501
373,Mnet K-POP,20500000,15038593883,Entertainment,Mnet K-POP,33229,South Korea,KR,Entertainment,220,7,99,158540000,39600,634200,475600,7600000,100000,2006,Mar,9,94.3,51709098,4.15,42106719,35.907757,127.766922
374,LazarBeam,20500000,8768697257,Gaming,LazarBeam,1323,Australia,AU,Games,565,3,25,26082000,6500,104300,78200,1300000,,2015,Jan,4,113.1,25766605,5.27,21844756,-25.274398,133.775136
375,Ninja Kidz TV,20500000,11009148579,Entertainment,Ninja Kidz TV,296,United States,US,Entertainment,377,104,99,195203000,48800,780800,585600,9400000,100000,2017,Feb,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
376,Totoy kids - PortuguпїЅ,20400000,1796227417,Film & Animation,Totoy kids - PortuguпїЅ,206,Brazil,BR,Film,5673,19,24,39495000,9900,158000,118500,1900000,100000,2014,Dec,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528
377,Jake Paul,20400000,7311322368,People & Blogs,Jake Paul,1006,United States,US,People,778,105,19,14646000,3700,58600,43900,703000,100000,2013,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
378,Linkin Park,20400000,13397000296,Music,linkinpark,0,Afghanistan,AF,Games,4057944,1385,7136,,0,0,0,0,12,2006,Nov,28,9.7,38041754,11.12,9797273,33.93911,67.709953
379,Vijay Television,20400000,29406206620,Entertainment,Vijay Television,51515,India,IN,Entertainment,43,70,100,907534000,226900,3600000,2700000,43600000,400000,2007,Feb,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
380,SlivkiShow,20400000,4707412332,Entertainment,SlivkiShow,462,Ukraine,UA,Entertainment,1489,1,100,28990000,7200,116000,87000,1400000,,2012,Dec,11,82.7,44385155,8.88,30835699,48.379433,31.16558
381,Emiway Bantai,20400000,3579555124,Music,Emiway Bantai,239,India,IN,Music,2236,70,94,41289000,10300,165200,123900,2000000,100000,2013,May,3,28.1,1366417754,5.36,471031528,20.593684,78.96288
382,Got Talent Global,20300000,2441288701,Entertainment,Got Talent Global,1245,United Kingdom,GB,Entertainment,3750,15,101,86457000,21600,345800,259400,4100000,100000,2013,Jan,31,60,66834405,3.85,55908316,55.378051,-3.435973
383,эээээээээээээээ - Genevieve's Playhouse,20300000,11022391339,Education,эээээээээээээээ - Genevieve's Playhouse,107,,,Education,380,,22,71777000,17900,287100,215300,3400000,200000,2018,Jul,22,,,,,,
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,BabyBus - Cerita & Lagu Anak-anak,875,Indonesia,ID,Education,332,10,22,112768000,28200,451100,338300,5400000,100000,2019,Jan,14,36.3,270203917,4.69,151509724,-0.789275,113.921327
385,Ami Rodriguez,20200000,2951914200,Entertainment,Ami Rodriguez,460,Colombia,CO,Entertainment,2959,7,103,263864000,66000,1100000,791600,12700000,1600000,2009,Jul,20,55.3,50339443,9.71,40827302,4.570868,-74.297333
386,Noor Stars,20200000,2764127969,Comedy,Noor Stars,693,United Arab Emirates,AE,Entertainment,3238,5,102,15556000,3900,62200,46700,746700,100000,2014,Apr,24,36.8,9770529,2.35,8479744,23.424076,53.847818
387,Family GamesTV,20200000,7066711323,Entertainment,FamilyGamesTV,0,,,Games,4057944,,7492,,0,0,0,0,,2012,Dec,29,,,,,,
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,226,India,IN,Education,780,71,23,113420000,28400,453700,340300,5400000,300000,2017,May,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
389,dednahype,20200000,20919403720,Comedy,dednahype,1935,Latvia,LV,Comedy,108,1,19,1245000000,311200,5000000,3700000,59800000,1200000,2020,Mar,20,88.1,1912789,6.52,1304943,56.879635,24.603189
390,Marta and Rustam,20200000,19694265358,Comedy,Marta and Rustam,761,United States,US,Comedy,126,106,20,452250000,113100,1800000,1400000,21700000,600000,2021,Jun,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
391,MiawAug,20200000,6098644584,Gaming,MiawAug,3713,Indonesia,ID,Games,1023,11,27,64489000,16100,258000,193500,3100000,200000,2014,Mar,15,36.3,270203917,4.69,151509724,-0.789275,113.921327
392,CookieSwirlC,20100000,23353115850,Entertainment,CookieSwirlC,3774,United States,US,Games,86,108,28,221702000,55400,886800,665100,10600000,200000,2013,Nov,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
393,Skrillex,20100000,6618524158,Music,Skrillex,241,United States,US,Music,905,108,95,25263000,6300,101100,75800,1200000,,2010,Apr,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
394,AuthenticGames,20100000,8920141342,Gaming,AuthenticGames,4974,Brazil,BR,Games,549,20,28,5420000,1400,21700,16300,260200,,2011,Oct,7,51.3,212559417,12.08,183241641,-14.235004,-51.92528
395,Robin Hood Gamer,20100000,10366850490,Entertainment,Homem Aranha player,0,,,Games,4057944,,7471,,0,0,0,0,,2013,Mar,16,,,,,,
396,Pencilmation,20100000,11317309935,Film & Animation,Pencilmation,1481,United States,US,Entertainment,366,109,104,14862000,3700,59400,44600,713400,100000,2007,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
397,7clouds,20100000,14816075927,Music,7clouds,2384,United States,US,Music,227,108,95,276751000,69200,1100000,830300,13300000,300000,2013,May,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
398,5-Minute Crafts PLAY,20100000,6119294270,Howto & Style,5-Minute Crafts PLAY,5491,United States,US,Howto,1014,108,12,105784000,26400,423100,317400,5100000,100000,2017,Oct,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
399,Marvel Entertainment,20100000,5634695322,Entertainment,MarvelEntertainment,1,United States,US,Film,4054962,6143,4024,63,0.02,0.25,0.19,3,30,2011,May,10,88.2,328239523,14.7,270663028,37.09024,-95.712891
400,BuzzFeedVideo,20100000,17913237851,People & Blogs,BuzzFeedVideo,7737,United States,US,People,150,108,20,9112000,2300,36400,27300,437400,,2011,Aug,10,88.2,328239523,14.7,270663028,37.09024,-95.712891
401,REACT,20000000,13154314376,Entertainment,REACT,4339,United States,US,Entertainment,281,109,104,23206000,5800,92800,69600,1100000,,2007,Jun,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
402,Vevo,20000000,559765455,Music,Vevo,1527,United States,US,Music,22747,109,96,1331000,333,5300,4000,63900,,2006,Apr,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
403,Gordon Ramsay,20000000,3875172235,Entertainment,Gordon Ramsay,1527,United Kingdom,GB,Entertainment,2001,16,104,39228000,9800,156900,117700,1900000,200000,2006,Apr,29,60,66834405,3.85,55908316,55.378051,-3.435973
404,Pentatonix,20000000,6033295543,Music,pentatonix,1,Canada,CA,Entertainment,4051673,4072,6742,,0,0,0,0,,2006,Mar,9,68.9,36991981,5.56,30628482,56.130366,-106.346771
405,Green Gold TV - Official Channel,20000000,9715291883,Film & Animation,Green Gold TV - Official Channel,1476,India,IN,Entertainment,473,72,104,70278000,0,0,0,0,100000,2011,Jul,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
406,Gusttavo Lima Oficial,19900000,13917423958,Music,Gusttavo Lima Oficial,416,Brazil,BR,Music,258,21,97,214803000,53700,859200,644400,10300000,100000,2010,Nov,9,51.3,212559417,12.08,183241641,-14.235004,-51.92528
407,HaerteTest,19800000,3234880084,Science & Technology,HaerteTest,1411,Germany,DE,Tech,2583,3,6,5650000,1400,22600,17000,271200,,2011,Sep,6,70.2,83132799,3.04,64324835,51.165691,10.451526
408,Crafty Panda,19800000,5759442450,People & Blogs,Crafty Panda,760,United States,US,Entertainment,1120,111,105,6137000,1500,24500,18400,294600,100000,2017,Dec,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
409,SOMOY TV,19800000,12293479945,News & Politics,TIME NEWS,9930,United States,US,News,1291541,2251,1555,16229,4,65,49,779,,2013,Nov,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
410,JennaMarbles,19700000,1803249241,Comedy,JennaMarbles,250,United States,US,Comedy,5665,112,21,3769000,942,15100,11300,180900,,2010,Feb,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
411,Troom Troom Es,19700000,7452667615,People & Blogs,Troom Troom Es,2912,,,Howto,747,,13,29387000,7300,117500,88200,1400000,100000,2016,Feb,5,,,,,,
412,Official Pink Panther,19700000,10955619815,Film & Animation,OfficialPinkPanther,1,United States,US,Games,4052414,7741,7494,,0,0,0,0,,2011,Oct,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
413,Britain's Got Talent,19700000,11323617496,Entertainment,Britain's Got Talent,4225,United Kingdom,GB,Entertainment,364,17,106,54192000,13500,216800,162600,2600000,100000,2008,Apr,12,60,66834405,3.85,55908316,55.378051,-3.435973
414,SCTV,19700000,9808676159,Entertainment,SCTV,267,United Kingdom,GB,Music,2831648,3695,4668,336,0.08,1,1,16,,2006,Mar,25,60,66834405,3.85,55908316,55.378051,-3.435973
415,AS Gaming,19600000,2851024430,Gaming,ASGaming,17,United States,US,Games,3857915,7711,7464,23,0.01,0.09,0.07,1,,2009,Mar,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
416,Sony AATH,19600000,13930021471,Shows,Sony AATH,18661,United States,US,Entertainment,257,112,106,274212000,68600,1100000,822600,13200000,300000,2013,Nov,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
417,tabii Urdu,19600000,8779729549,Entertainment,tabii Urdu,1306,Turkey,TR,Entertainment,562,3,107,110806000,27700,443200,332400,5300000,100000,2020,Apr,17,23.9,83429615,13.49,63097818,38.963745,35.243322
418,DaFuq!?Boom!,19600000,7906181776,Film & Animation,DaFuq!?Boom!,214,United States,US,Entertainment,656,112,106,2304000000,576000,9200000,6900000,110600000,6700000,2016,Jun,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
419,Clash of Clans,19600000,3961318438,Gaming,Clash of Clans,674,United States,US,Games,1934,113,30,22292000,5600,89200,66900,1100000,,2013,Jan,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
420,RKD Studios,19500000,5234251168,Entertainment,RKD Studios,847,India,IN,Entertainment,1265,74,108,59841000,0,0,0,0,300000,2014,Mar,14,28.1,1366417754,5.36,471031528,20.593684,78.96288
421,DLS News,19400000,2255542592,News & Politics,DLS News,4750,India,IN,News,4178,74,8,32111000,8000,128400,96300,1500000,100000,2017,Jul,5,28.1,1366417754,5.36,471031528,20.593684,78.96288
422,JukiLop,19400000,1577859332,People & Blogs,JukiLop,85,Mexico,MX,People,6674,14,22,2382000,595,9500,7100,114300,100000,2017,Sep,15,40.2,126014024,3.42,102626859,23.634501,-102.552784
423,etvteluguindia,19400000,23038014291,Entertainment,etvteluguindia,125974,India,IN,Entertainment,88,75,109,272917000,68200,1100000,818800,13100000,200000,2010,Mar,15,28.1,1366417754,5.36,471031528,20.593684,78.96288
424,FIFA,19400000,5529131886,Sports,FIFA,10728,Switzerland,CH,Sports,1186,1,5,58863000,14700,235500,176600,2800000,100000,2006,Sep,6,59.6,8574832,4.58,6332428,46.818188,8.227512
425,Manoj  parihar,19300000,264228052,,Manoj  parihar,335,India,IN,Howto,48846,75,14,37167000,9300,148700,111500,1800000,300000,2021,Mar,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
426,Vsauce,19300000,2897907132,Science & Technology,Vsauce,462,,,Entertainment,3024,,110,69614000,17400,278500,208800,3300000,100000,2007,Jul,30,,,,,,
427,Unbox Therapy,19300000,4508184467,Science & Technology,Unbox Therapy,2175,,,Tech,1596,,7,16718000,4200,66900,50200,802500,1100000,2010,Dec,21,,,,,,
428,shane,19200000,4329121104,People & Blogs,shane,570,United States,US,Comedy,1705,114,22,2730000,683,10900,8200,131100,,2005,Sep,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
429,Sonotek,19200000,7590582024,Entertainment,Sonotek,8285,India,IN,Music,724,77,98,28678000,7200,114700,86000,1400000,100000,2011,Jan,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
430,Jimmy Kimmel Live,19100000,13124645973,Entertainment,Jimmy Kimmel Live,6526,United States,US,Comedy,283,115,23,17243000,4300,69000,51700,827600,,2006,Sep,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
431,TheOdd1sOut,19100000,4566120190,Comedy,TheOdd1sOut,139,United States,US,Comedy,1568,115,23,30986000,7700,123900,93000,1500000,,2014,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
432,Goldmines Great Indian Comedy,19100000,5194942269,Film & Animation,Goldmines Great Indian Comedy,2948,,,Film,1279,,26,65920000,16500,263700,197800,3200000,200000,2016,Aug,29,,,,,,
433,Lil Nas X,19100000,6339584661,Music,Lil Nas X,37,,,Music,966,,99,46192000,11500,184800,138600,2200000,,2018,May,19,,,,,,
434,ээээээээээээээ ээээ,19000000,4924054368,Education,ээээээээээээээ ээээ,60,United States,US,Entertainment,1399,116,111,21587000,5400,86300,64800,1000000,100000,2018,Feb,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
435,SUPER SLICK SLIME SAM,19000000,7229175322,Howto & Style,SUPER SLICK SLIME SAM,903,Mexico,MX,Howto,786,15,111,123338000,30800,493400,370000,5900000,200000,2018,Jan,23,40.2,126014024,3.42,102626859,23.634501,-102.552784
436,Wow Kidz Action,19000000,8281724393,Film & Animation,Wow Kidz Action,1525,India,IN,Entertainment,618,78,111,105706000,26400,422800,317100,5100000,200000,2017,Nov,8,28.1,1366417754,5.36,471031528,20.593684,78.96288
437,Turma da MпїЅпїЅ,19000000,13824277846,Film & Animation,Turma da MпїЅпїЅ,1154,Brazil,BR,Film,260,22,27,76903000,19200,307600,230700,3700000,100000,2012,Jul,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528
438,Calvin Harris,19000000,16014044618,Music,Calvin Harris,79,United Kingdom,GB,Music,191,18,99,102410000,25600,409600,307200,4900000,100000,2007,Feb,11,60,66834405,3.85,55908316,55.378051,-3.435973
439,KBS WORLD TV,19000000,15126092508,Entertainment,KBS WORLD TV,64496,South Korea,KR,Entertainment,217,8,111,107989000,27000,432000,324000,5200000,,2007,Jan,6,94.3,51709098,4.15,42106719,35.907757,127.766922
440,HiMan,18900000,2855519150,People & Blogs,HiMan,375,Russia,RU,Entertainment,3094,4,112,24563000,6100,98300,73700,1200000,,2014,Oct,16,81.9,144373535,4.59,107683889,61.52401,105.318756
441,Masha e o Urso,18900000,8301731337,Shows,Masha e o Urso,0,,,,4057944,,,,0,0,0,0,2,2014,Feb,20,,,,,,
442,Little Angel EspaпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ,18900000,9813245108,Education,Little Angel EspaпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ,719,Mexico,MX,Education,459,16,24,140398000,35100,561600,421200,6700000,,2018,Jan,26,40.2,126014024,3.42,102626859,23.634501,-102.552784
443,TED-Ed,18800000,3654621568,Education,TED-Ed,2072,United States,US,Education,2163,117,25,29874000,7500,119500,89600,1400000,100000,2011,Mar,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
444,Sidemen,18800000,5257834105,Entertainment,Sidemen,312,United Kingdom,GB,Entertainment,1263,19,113,78158000,19500,312600,234500,3800000,100000,2015,Jun,14,60,66834405,3.85,55908316,55.378051,-3.435973
445,Cardi B,18800000,7634430188,People & Blogs,Cardi B,9,,,,4054469,,,7,0,0.03,0.02,0.34,,2017,Aug,15,,,,,,
446,Busy Fun Ltd,18800000,7762077012,,TG MAYANK YT,2,,,,4057882,,,,0,0,0,0,,2021,Dec,21,,,,,,
447,Farruko,18800000,9573641299,Music,Farruko,217,United States,US,Music,485,117,100,97758000,24400,391000,293300,4700000,100000,2009,Oct,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
448,ээээээээээээээээээээээ,18800000,9594188708,Entertainment,ээээээээээээээээээээээ,530,Ukraine,UA,Entertainment,483,2,113,68006000,17000,272000,204000,3300000,100000,2014,Oct,20,82.7,44385155,8.88,30835699,48.379433,31.16558
449,Triggered Insaan,18800000,3276891538,Comedy,Triggered Insaan,304,India,IN,People,2508,79,24,109026000,27300,436100,327100,5200000,700000,2014,Jul,17,28.1,1366417754,5.36,471031528,20.593684,78.96288
450,CKN,18700000,12295637162,Entertainment,cKn,16,Spain,ES,Music,3188353,4093,5631,102,0.03,0.41,0.31,5,1,2005,Sep,26,88.9,47076781,13.96,37927409,40.463667,-3.74922
451,Ali-A,18700000,6148303268,Gaming,ali-a,2,,,People,4053443,,7729,1,0,0,0,0.05,,2016,Jul,7,,,,,,
452,Shemaroo Comedy,18600000,6047584292,Entertainment,Shemaroo Comedy,4487,India,IN,Comedy,1033,81,24,102431000,25600,409700,307300,4900000,200000,2007,Jan,31,28.1,1366417754,5.36,471031528,20.593684,78.96288
453,Smile Family Spanish,18600000,7008250496,,Smile Family Spanish,457,United States,US,Entertainment,830,118,115,43396000,10800,173600,130200,2100000,200000,2019,Jun,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
454,GRAMMY GOLD OFFICIAL,18600000,20196704276,Music,GRAMMY GOLD OFFICIAL,6287,Thailand,TH,Music,121,5,101,168597000,42100,674400,505800,8100000,100000,2014,Jan,15,49.3,69625582,0.75,35294600,15.870032,100.992541
455,ээээээээ ээээээээээ ээээээээээ | Arab Games Network,18600000,8761255550,Gaming,ээээээээ ээээээээээ ээээээээээ | Arab Games эээ,6289,Saudi Arabia,SA,Games,566,3,31,43007000,10800,172000,129000,2100000,500000,2013,Nov,29,68,34268528,5.93,28807838,23.885942,45.079162
456,Dan-Sa / Daniel Saboya,18500000,2908120896,Music,Dan-Sa / Daniel Saboya,1329,Brazil,BR,Music,45213,24,102,6148000000,0,0,0,0,100000,2007,Sep,22,51.3,212559417,12.08,183241641,-14.235004,-51.92528
457,Marmok,18500000,3457618361,Gaming,Marmok,374,Russia,RU,Games,2356,5,32,38282000,9600,153100,114800,1800000,100000,2008,Apr,27,81.9,144373535,4.59,107683889,61.52401,105.318756
458,The ACE Family,18500000,4558380251,People & Blogs,The ACE Family,712,,,People,1572,,25,2835000,709,11300,8500,136100,,2016,Jan,10,,,,,,
459,Like Nastya Vlog,18500000,8147575884,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,48947000,12200,195800,146800,2300000,100000,2016,Jan,14,81.9,144373535,4.59,107683889,61.52401,105.318756
460,Willie Salim,18500000,4051072188,People & Blogs,Willie Salim,679,Indonesia,ID,People,1868,13,25,197369000,49300,789500,592100,9500000,1600000,2014,Jan,6,36.3,270203917,4.69,151509724,-0.789275,113.921327
461,PDK Films,18400000,4120324310,Entertainment,PDK Films,111,United States,US,Entertainment,1825,120,116,14430000,3600,57700,43300,692600,,2009,Jul,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
462,TheWillyrex,18400000,7038827526,Comedy,TheWillyrex,6943,Spain,ES,Games,825,7,33,11004000,2800,44000,33000,528200,,2011,Jan,26,88.9,47076781,13.96,37927409,40.463667,-3.74922
463,RsiamMusic : пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ,18400000,11544297793,Music,RsiamMusic : пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ,3159,Thailand,TH,Music,346,6,103,54133000,13500,216500,162400,2600000,100000,2011,Mar,8,49.3,69625582,0.75,35294600,15.870032,100.992541
464,Dhar Mann,18400000,11280732382,People & Blogs,Alejandro Basalo,0,,,,4057944,,,,0,0,0,0,2,2007,Apr,25,,,,,,
465,shakiraVEVO,18400000,25367126292,Music,shakiraVEVO,197,United States,US,Music,72,120,103,267126000,66800,1100000,801400,12800000,,2009,Sep,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
466,Naisa Alifia Yuriza (N.A.Y),18300000,1606834186,People & Blogs,Naisa Alifia Yuriza (N.A.Y),786,Indonesia,ID,Entertainment,6502,14,117,17063000,4300,68300,51200,819000,,2017,Jul,8,36.3,270203917,4.69,151509724,-0.789275,113.921327
467,Miley Cyrus,18300000,7760819588,Entertainment,Miley Cyrus,142,United States,US,Entertainment,696,121,117,127982000,32000,511900,383900,6100000,100000,2009,Sep,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
468,IShowSpeed,18300000,1556003039,Gaming,IShowSpeed,1324,United States,US,Games,6734,120,33,140261000,35100,561000,420800,6700000,800000,2016,Mar,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
469,Good Mythical Morning,18300000,8798044678,Entertainment,Goodmythicalmorning,0,,,,3612215,3305,,,0,0,0,0,,,,,,,,,,
470,Bobby chourasiya,18200000,9937823152,People & Blogs,Bobby chourasiya,442,,,People,452,,27,467848000,117000,1900000,1400000,22500000,1000000,2019,Jan,25,,,,,,
471,INCRпїЅпї,18200000,3213324455,People & Blogs,INCRпїЅпї,6903,Brazil,BR,Howto,2610,25,15,18045000,4500,72200,54100,866200,,2017,Jun,20,51.3,212559417,12.08,183241641,-14.235004,-51.92528
472,Jake Fellman,18100000,13378360425,Entertainment,Jake Fellman,420,United States,US,Entertainment,274,122,118,497044000,124300,2000000,1500000,23900000,700000,2012,Oct,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
473,GEN HALILINTAR,18100000,3306242674,Entertainment,GEN HALILINTAR,1037,Indonesia,ID,Entertainment,2498,15,119,27312000,6800,109200,81900,1300000,,2015,Mar,4,36.3,270203917,4.69,151509724,-0.789275,113.921327
474,SQUEEZIE,18100000,9983065083,Gaming,SQUEEZIE,1521,France,FR,Entertainment,443,1,119,48099000,12000,192400,144300,2300000,100000,2011,Jan,9,65.6,67059887,8.43,54123364,46.227638,2.213749
475,Blippi - Educational Videos for Kids,18100000,14857290259,Education,Blippi - Educational Videos for Kids,707,United States,US,Education,224,123,26,180412000,45100,721600,541200,8700000,300000,2014,Jan,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
476,officialpsy,18100000,10703830496,Music,officialpsy,131,South Korea,KR,Music,393,10,104,64989000,16200,260000,195000,3100000,,2010,Oct,4,94.3,51709098,4.15,42106719,35.907757,127.766922
477,Ajay Sharma,18100000,12249828886,Entertainment,Ajay Sharma,0,,,,4057944,,,,0,0,0,0,1,2009,Oct,24,,,,,,
478,Manual do Mundo,18000000,3980991248,Howto & Style,Manual do Mundo,2470,Brazil,BR,Tech,1922,26,8,54766000,13700,219100,164300,2600000,100000,2006,Jul,24,51.3,212559417,12.08,183241641,-14.235004,-51.92528
479,How Ridiculous,18000000,9601137077,Sports,How Ridiculous,650,Australia,AU,Sports,478,5,6,391298000,97800,1600000,1200000,18800000,600000,2009,Sep,9,113.1,25766605,5.27,21844756,-25.274398,133.775136
480,And TV,18000000,15412333005,Entertainment,ANDtv,45,United States,US,Entertainment,4012108,7627,6667,4,0,0.02,0.01,0.19,,2006,Aug,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
481,SebastiпїЅпїЅпїЅ,18000000,10463166404,News & Politics,SebastiпїЅпїЅпїЅ,237,United States,US,Music,406,124,105,110776000,27700,443100,332300,5300000,,2013,Mar,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
482,SonyMusicSouthVEVO,18000000,17921124985,Music,SonyMusicSouthVEVO,5692,United States,US,Music,148,123,104,257597000,64400,1000000,772800,12400000,100000,2014,Jul,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
483,TheGrefg,18000000,6404852037,Gaming,TheGrefg,3566,Spain,ES,Games,950,8,34,43830000,11000,175300,131500,2100000,,2012,Jan,30,88.9,47076781,13.96,37927409,40.463667,-3.74922
484,BeatboxJCOP,18000000,8716982055,Film & Animation,BeatboxJCOP,748,,,Entertainment,539,,115,1375000000,343800,5500000,4100000,66000000,3400000,2011,Mar,12,,,,,,
485,David Dobrik,17900000,7176572299,People & Blogs,David Dobrik,536,United States,US,People,801,125,28,8650000,2200,34600,26000,415200,100000,2014,Dec,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
486,KatieAngel,17900000,3841205465,People & Blogs,KatieAngel,982,United States,US,Music,2014,125,106,51687000,12900,206700,155100,2500000,100000,2015,May,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
487,RobleisIUTU,17900000,5168721499,Entertainment,RobleisIUTU,1344,Argentina,AR,Games,1294,9,35,27545000,6900,110200,82600,1300000,100000,2013,Apr,15,90,44938712,9.79,41339571,-38.416097,-63.616672
488,Lele Pons,17900000,5244917119,Comedy,Lele Pons,185,United States,US,Entertainment,1264,125,121,18548000,4600,74200,55600,890300,,2015,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
489,Demi Lovato,17900000,6888074944,Music,Demi Lovato,314,United States,US,Music,858,125,106,29182000,7300,116700,87500,1400000,,2008,Jan,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
490,Like Nastya VNM,17900000,9867515979,Entertainment,Like Nastya VNM,602,Vietnam,VN,Entertainment,455,1,121,84467000,21100,337900,253400,4100000,100000,2019,Nov,22,28.5,96462106,2.01,35332140,14.058324,108.277199
491,Jason Derulo,17900000,9887116267,Music,Jason Derulo,830,United States,US,Music,446,124,105,447891000,112000,1800000,1300000,21500000,400000,2008,Jul,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
492,MGC Playhouse,17900000,16174530046,Shows,MGC Playhouse,1426,United States,US,Education,187,125,27,102621000,25700,410500,307900,4900000,100000,2009,Feb,3,88.2,328239523,14.7,270663028,37.09024,-95.712891
493,Zuni and Family,17900000,6746269458,People & Blogs,zuni and family,2,,,People,4057766,,7733,4,0,0.02,0.01,0.19,,2020,Jul,15,,,,,,
494,Priyal Kukreja,17800000,11057945183,People & Blogs,Priyal Kukreja,772,India,IN,People,378,83,29,431390000,107800,1700000,1300000,20700000,900000,2021,Apr,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
495,MSA previously My Story Animated,17800000,8588704539,Film & Animation,MSA Previously My Story Animated,26,United States,US,People,3976090,5208,4978,20708,5,83,62,994,2960,2021,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
496,эээээээээ KIMPRO,17700000,19206701832,,эээээээээ KIMPRO,1646,South Korea,KR,People,125,9,26,3404000000,850900,13600000,10200000,163400000,3200000,2017,Nov,11,94.3,51709098,4.15,42106719,35.907757,127.766922
497,Jane ASMR пїЅпїЅ,17700000,7387621644,,Jane ASMR пїЅпїЅ,1888,South Korea,KR,People,762,11,30,102803000,0,0,0,0,,2012,Nov,17,94.3,51709098,4.15,42106719,35.907757,127.766922
